浙江龙盛|sh600352|12.91|-0.31|-2.34|16.948|12.0|-30.97
同花顺|sz300033|293.99|-4.11|-1.38|423.488|280|-15.54
亨通光电|sh600487|57.97|4.58|8.58|43.21|38.0|4.43
航发动力|sh600893|48.81|-0.99|-1.99|49.184|42.0|-0.34
西部矿业|sh601168|25.38|-0.12|-0.47|26.169|22.0|-0.87
黄金ETF|sh518880|9.828|0.09|0.92|9.868|None|-0.1
东睦股份|sh600114|27.34|-0.17|-0.62|31.176|25.0|-4.26
特变电工|sh600089|25.59|-0.58|-2.22|24.765|25.0|4.31
